Desa,URL,lon,lat
Votes Without Violence,voteswithoutviolence.org,-77.017576,38.901048
U.S. Department of Health and Human Services (USA),healthdata.gov,-77.017576,38.901048
National Democratic Institute,nditech.org/project/dkan,-77.017576,38.901048
USDA National Agricultural Library,data.nal.usda.gov,-76.921752,39.022775
California,data.ca.gov,-121.493245,38.576587
Oklahoma,data.ok.gov,-97.503317,35.492106
North Dakota,gis.nd.gov,-100.792981,46.82791
Georgia (Governor's Office of Student Achievement),schoolgrades.ga.gov,-84.386129,33.750127
"Louisville, KY",data.louisvilleky.gov,-85.760337,38.254196
OpenOakland,data.openoakland.org,-122.272286,37.805344
"San Diego, CA",data.sandiego.gov,-117.162969,32.716915
"Cambridgeshire, UK",opendata.cambridgeshireinsight.org.uk,0.112802,52.213009
"Marine Scotland, UK",marinedata.scotland.gov.uk,-2.070518,57.137909
"Detail Data Northern Ireland, UK",data.nicva.org,-5.829319,54.599072
UK Financial Conduct Authority,Internal site - no public access,-0.020052,51.505617
Bank of England,Internal site - no public access,-0.08647,51.514304
"Bonn, Germany",opendata.bonn.de,7.09447,50.737103
"Cologne, Germany",offenedaten-koeln.de,6.959121,50.938103
"Dusseldorf, Germany",offenedaten-duesseldorf.de,6.771482,51.225691
"Mannheim, Germany",opendata.mannheim.de,8.462785,49.489397
"M�lheim an der Ruhr, Germany",geo.muelheim-ruhr.de,6.877627,51.428735
"Bielefeld University, Germany",dszbo-portal.uni-bielefeld.de,8.49347,52.037689
"Wuppertal, Germany",offenedaten-wuppertal.de,7.200039,51.272093
"RNV, Germany",opendata.rnv-online.de,8.61471,49.4416
"KDZV Frechen Rhein Erft Rur, Germany",offenedaten.kdvz-frechen.de/,6.827938,50.912761
"Montpellier, France",data.montpellier3m.fr/,3.896837,43.598544
Italy,dati.gov.it,12.47982,41.901221
"Genova, Italy",dati.comune.genova.it/,8.937435,44.410875
"Pompeii, Italy",open.pompeiisites.org,14.498934,40.746157
"Formia, Italy",dati.comune.formia.lt.it,13.605963,41.255651
"Torino, Italy",aperto.comune.torino.it,7.68159,45.03999
"Confiscati Bene, Italy",http://www.confiscatibene.it/,13.345575,38.13092
"Donneche Contano, Italy",http://donnechecontano.it/,9.18717,45.490646
"Data Hub, Hungary",http://data-hub.hu/,19.051717,47.477705
"Ministry of Finance, Czech Republic",data.mfcr.cz,14.407199,50.089153
"Ministry of Defence, Czech Republic",data.army.cz,14.403504,50.09533
"Ministry of Regional Development, Czech Republic",data.mmr.cz,14.421123,50.088226
"Czech Telecommunications Office, Czech Republic",data.ctu.cz,14.499049,50.110656
"D���n Municipality, Czech Republic",data.mmdecin.cz,14.195649,50.77377
"Opava Municipality, Czech Republic",kod.opava-city.cz,17.902516,49.93887
"Decentralised Administration of Crete, Greece",apdkritis.gov.gr/en,25.133336,35.337249
Bosnia and Herzegovina,opendata.ba,18.410895,43.861751
Belarus,opendata.by,27.561524,53.90454
Ukraine,data.gov.ua,30.533414,50.447967
Russia,data.gov.ru,37.617499,55.752023
"Moscow Region, Russia",data.mosreg.ru,37.381104,55.815974
Saudi Arabia,data.gov.sa,46.721259,24.725188
"Transport for New South Wales, Australia",opendata.transport.nsw.gov.au,151.00574,-33.819007
"Maps and Data, Cape York, Australia",maps.capeyorknrm.com.au,145.484882,-17.258578
"G0V, Taiwan",data.g0v.tw,121.564008,25.033141
"Ikoma, Japan",data.code4ikoma.org,135.709804,34.706789
"Kyoto, Japan",data.city.kyoto.lg.jp/,135.768167,35.011874
"Urban Data Challenge, Japan",udct-data.aigid.jp,136.138099,35.116585
"Banda Aceh City Council, Indonesia",data.bandaacehkota.go.id/,95.319775,5.548458
"Gerakan Anti Corruption Project, Indonesia",data.gerakaceh.id/,95.353557,5.569559
"Hutanriau, Indonesia",hutanriau.org,101.448429,0.512497
Jamaica,data.gov.jm,-76.792488,18.004526
Puerto Rico,abrepr.org,-66.06713,18.449707
El Salvador,datoselsalvador.org,-89.22036,13.692643
"Buenos Aires, Argentina",dkan.puertasdebuenosaires.com,-58.376049,-34.616606
"Rosario, Argentina",datos.rosario.gob.ar,-60.646319,-32.944505
"IT PAMI, Argentina",it.pami.org.ar,-58.724216,-34.673708
"Bogot� Secretariat of Culture, Recreation, and Sport, Colombia",sispru.scrd.gov.co/siscred/dataset,-74.076746,4.595954
"Narino, Colombia",datos.narino.gov.co/,-77.486038,1.297813
"IMSS, Mexico",datos.imss.gob.mx,-99.172788,19.42347
"CONCYTEC, Peru",datos.concytec.gob.pe,-77.025647,-12.125395
"Ministry of Education, Peru",datos.minedu.gob.pe,-77.000901,-12.085152
"Ministry of Health, Peru",datos.minsa.gob.pe,-77.041584,-12.072693
"National Jury of Elections, Peru",jnedatosabiertos.pe,-77.042433,-12.04672
"Ministry of Labor, Peru",datos.trabajo.gob.pe,-77.040704,-12.071367
"Open Data Windsor Essex, Canada",odwe.ca,-83.035269,42.317422
"City of Fredericton, Canada",data.fredericton.ca,-66.642513,45.963498
Sierra Leone,opendata.gov.sl,-13.234093,8.486488
Nigeria,dataportal.visualdata.com.ng,3.366578,6.51909
Ghana,data.gov.gh,-0.187564,5.603645
Namibia,namopendata.com,17.085585,-22.564051
South Africa,data.gov.za,28.198118,-25.759015
"Local Development Research Initiative, Kenya",transformagriculture.org,36.778374,-1.292508
"Sayada, Tunisia",opendata.sayada.tn/fr,10.904751,35.660986
